time,PROTON_BULK_SPEED_km/s,PROTON_BULK_SPEED_km/s.1,UNCERTAINTY_IN_VP_km/s,P+_WPERP_NONLIN_km/s,P+_WPERP_NONLIN_km/s.1,SIGMA_P+_WPERP_NONLIN_km/s,P+_WPAR_NONLIN_km/s,P+_WPAR_NONLIN_km/s.1,SIGMA_P+_WPAR_NONLIN_km/s,P+_DENSITY_cm^{-3},P+_DENSITY_cm^{-3}.1,SIGMA_P+_DENSITY_cm^{-3},ALPHA_BULK_SPEED_km/s,ALPHA_BULK_SPEED_km/s.1,UNCERTAINTY_IN_VA_km/s,HE++_WPERP_NONLIN_km/s,HE++_WPERP_NONLIN_km/s.1,SIGMA_HE++_WPERP_NONLIN_km/s,HE++_WPAR_NONLIN_km/s,HE++_WPAR_NONLIN_km/s.1,SIGMA_HE++_WPAR_NONLIN_km/s,HE++_DENSITY_NONLIN_cm^{-3},HE++_DENSITY_NONLIN_cm^{-3}.1
1579824075.0,316.778,316.778,14.5058,21.2922,21.2922,4.14304,22.7441,22.7441,2.19783,5.88867,5.88867,0.19407,316.974,316.974,130.547,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.0444513,0.0444513
1579824175.0,322.677,322.677,9.10266,21.0061,21.0061,3.77874,26.4883,26.4883,1.47369,7.22395,7.22395,0.082374,314.879,314.879,141.621,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.0476494,0.0476494
1579824274.0,322.73,322.73,9.31416,19.945,19.945,3.48511,27.0736,27.0736,1.58953,7.22286,7.22286,0.0831461,322.761,322.761,188.358,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.0578419,0.0578419
1579824373.0,317.7,317.7,10.6414,20.46,20.46,2.91011,22.2389,22.2389,1.86741,5.62965,5.62965,0.172899,317.815,317.815,165.082,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.0477688,0.0477688
1579824469.0,318.968,318.968,10.9718,20.2251,20.2251,2.82361,22.473,22.473,1.78821,5.97682,5.97682,0.182944,323.184,323.184,158.196,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.0495518,0.0495518
1579824569.0,319.723,319.723,8.7461,21.3487,21.3487,2.90618,23.9554,23.9554,1.4703,6.51913,6.51913,0.0718603,315.153,315.153,130.005,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.0454694,0.0454694
1579824668.0,322.167,322.167,5.79791,21.7002,21.7002,1.2671,26.8599,26.8599,1.0,7.2211,7.2211,0.0540647,317.733,317.733,178.427,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.052238,0.052238
1579824767.0,321.811,321.811,8.18001,21.5876,21.5876,2.18741,27.1754,27.1754,1.44445,7.23587,7.23587,0.0768702,315.086,315.086,138.958,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.0482209,0.0482209
1579824866.0,322.162,322.162,3.22162,21.7747,21.7747,1.0,26.9977,26.9977,1.0,7.30139,7.30139,0.036507,316.534,316.534,139.941,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.0484085,0.0484085
1579824966.0,322.178,322.178,5.53022,21.5471,21.5471,1.02419,25.7223,25.7223,1.0,6.98373,6.98373,0.0494699,322.572,322.572,153.61,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.0424797,0.0424797
