time,PROTON_BULK_SPEED_km/s,PROTON_BULK_SPEED_km/s.1,UNCERTAINTY_IN_VP_km/s,P+_WPERP_NONLIN_km/s,P+_WPERP_NONLIN_km/s.1,SIGMA_P+_WPERP_NONLIN_km/s,P+_WPAR_NONLIN_km/s,P+_WPAR_NONLIN_km/s.1,SIGMA_P+_WPAR_NONLIN_km/s,P+_DENSITY_cm^{-3},P+_DENSITY_cm^{-3}.1,SIGMA_P+_DENSITY_cm^{-3},ALPHA_BULK_SPEED_km/s,ALPHA_BULK_SPEED_km/s.1,UNCERTAINTY_IN_VA_km/s,HE++_WPERP_NONLIN_km/s,HE++_WPERP_NONLIN_km/s.1,SIGMA_HE++_WPERP_NONLIN_km/s,HE++_WPAR_NONLIN_km/s,HE++_WPAR_NONLIN_km/s.1,SIGMA_HE++_WPAR_NONLIN_km/s,HE++_DENSITY_NONLIN_cm^{-3},HE++_DENSITY_NONLIN_cm^{-3}.1
1610496096.0,430.177,430.177,18.7711,37.5372,37.5372,2.36806,54.0397,54.0397,16.4197,4.97055,4.97055,0.0414241,429.855,429.855,86.544,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.150577,0.150577
1610496196.0,413.966,413.966,18.2843,33.9723,33.9723,4.38624,48.0848,48.0848,6.17624,4.41022,4.41022,0.0278887,420.339,420.339,119.975,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.138711,0.138711
1610496393.0,423.739,423.739,16.0076,31.1177,31.1177,2.3672,45.0614,45.0614,7.46084,4.12183,4.12183,0.0257429,428.725,428.725,103.036,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.127992,0.127992
1610496494.0,420.982,420.982,17.2503,33.9072,33.9072,2.84575,49.9913,49.9913,7.88749,4.37751,4.37751,0.0273571,426.7,426.7,123.862,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.123278,0.123278
1610496594.0,418.741,418.741,17.124,33.4391,33.4391,2.768,48.5423,48.5423,7.69734,4.29521,4.29521,0.0268277,426.315,426.315,117.691,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.1256,0.1256
1610496894.0,420.954,420.954,16.5989,35.2145,35.2145,2.58087,47.9709,47.9709,8.65454,4.45259,4.45259,0.0280803,428.254,428.254,113.036,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.132684,0.132684
1610496994.0,422.198,422.198,19.1828,34.1513,34.1513,2.98922,53.4964,53.4964,9.68521,3.90894,3.90894,0.0228651,428.135,428.135,124.343,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.127946,0.127946
1610497195.0,447.917,447.917,9.61981,20.8836,20.8836,1.0,27.0904,27.0904,4.02816,2.31182,2.31182,0.0115591,438.178,438.178,53.7191,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.0887621,0.0887621
1610497295.0,435.6,435.6,17.4297,38.5267,38.5267,2.30164,49.2729,49.2729,23.0508,4.46955,4.46955,0.0279666,428.361,428.361,173.861,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.141718,0.141718
1610497592.0,432.616,432.616,16.2841,35.9472,35.9472,2.15812,43.2381,43.2381,24.4928,4.28058,4.28058,0.0266067,423.417,423.417,178.227,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.155993,0.155993
1610498894.0,436.885,436.885,51.6896,41.4303,41.4303,5.07815,38.4249,38.4249,12.2534,5.08807,5.08807,0.0860316,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,100000.0,100000.0
1610498995.0,422.871,422.871,20.4333,36.335,36.335,2.94411,50.7635,50.7635,9.81103,4.90051,4.90051,0.0430004,422.872,422.872,72.5707,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.127677,0.127677
1610499095.0,424.709,424.709,17.0784,32.6374,32.6374,2.57514,48.5483,48.5483,8.55344,4.6032,4.6032,0.038807,434.688,434.688,118.028,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.119351,0.119351
1610499195.0,423.136,423.136,17.9761,35.105,35.105,3.3108,49.8794,49.8794,8.34194,4.58627,4.58627,0.040298,426.504,426.504,88.7616,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.123223,0.123223
1610499596.0,428.474,428.474,17.9242,35.502,35.502,2.39636,57.6859,57.6859,13.8525,4.56153,4.56153,0.0303234,426.516,426.516,189.015,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.139141,0.139141
1610499796.0,424.62,424.62,15.7648,33.6289,33.6289,1.96222,51.8516,51.8516,11.7363,4.26794,4.26794,0.0263097,429.593,429.593,115.886,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.12042,0.12042
1610500093.0,430.437,430.437,17.1745,34.1254,34.1254,2.05296,49.0054,49.0054,14.1152,4.31069,4.31069,0.028177,430.068,430.068,123.711,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.116711,0.116711
1610500194.0,431.23,431.23,17.6963,38.0385,38.0385,2.3879,52.2648,52.2648,15.3945,4.45159,4.45159,0.0278435,425.625,425.625,197.964,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.140746,0.140746
1610500291.0,430.313,430.313,21.8984,41.5474,41.5474,3.47935,51.0997,51.0997,10.0231,4.45389,4.45389,0.0294783,428.05,428.05,42.2357,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.130593,0.130593
1610500391.0,429.408,429.408,19.4603,36.8037,36.8037,2.73566,55.4184,55.4184,20.2641,4.24685,4.24685,0.0343444,426.906,426.906,85.8554,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.126163,0.126163
1610500491.0,432.67,432.67,18.4008,41.8361,41.8361,2.68706,50.3637,50.3637,25.9473,4.84388,4.84388,0.0318493,427.212,427.212,98.621,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.12453,0.12453
1610500992.0,434.086,434.086,20.9237,45.3584,45.3584,3.94607,50.4801,50.4801,8.9842,4.55715,4.55715,0.0280188,432.148,432.148,207.464,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.130465,0.130465
1610501092.0,427.344,427.344,24.003,49.2132,49.2132,5.29985,52.3191,52.3191,9.05724,4.59958,4.59958,0.0294832,431.526,431.526,207.965,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.117741,0.117741
1610501192.0,425.098,425.098,21.7958,42.2765,42.2765,4.28393,46.609,46.609,7.35748,4.07873,4.07873,0.0247222,426.696,426.696,44.2289,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.124839,0.124839
1610501292.0,424.1,424.1,23.1307,41.6436,41.6436,4.66176,49.9309,49.9309,7.5526,4.24688,4.24688,0.0270262,420.187,420.187,91.7399,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.153809,0.153809
1610501489.0,454.12,454.12,26.7493,48.5086,48.5086,8.14417,50.0607,50.0607,7.36499,3.93228,3.93228,0.0229368,454.465,454.465,183.376,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.111071,0.111071
1610501690.0,421.409,421.409,22.65,47.4064,47.4064,7.13954,47.3713,47.3713,5.46938,4.27689,4.27689,0.0268225,421.137,421.137,44.2478,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.140157,0.140157
1610501990.0,422.343,422.343,23.6773,43.7838,43.7838,4.68091,46.2811,46.2811,7.99278,4.26336,4.26336,0.0263745,428.342,428.342,243.779,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.125347,0.125347
1610502191.0,424.796,424.796,24.0718,44.2779,44.2779,3.92146,45.6634,45.6634,8.21027,4.36878,4.36878,0.0282613,420.922,420.922,41.4324,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.140861,0.140861
